PID,condition,case,task,trial,size,distance(cm),Angular error X,Angular error Y,Angular error Z,volume difference(cm^3),time(sec.),number of attempt,number of collision,path length(cm),total angular rotation X,total angular rotation Y,total angular rotation Z,continous delta volume error(m^3)
74,1,docking: 3-dim T + 1-dim S,1,1,small,37.68181,0,0,0,-8551.149,24.17547,,,2.187928,,,,
74,1,docking: 3-dim T + 1-dim S,1,2,small,19.81178,0,0,0,7842.684,13.1794,,,1.769455,,,,
74,1,docking: 3-dim T + 1-dim S,1,1,big,1.360916,0,0,0,1678.534,18.95959,,,0.948119,,,,
74,1,docking: 3-dim T + 1-dim S,1,2,big,26.48457,0,0,0,208189.5,29.90958,,,4.760269,,,,
74,1,docking: 3-dim T + 1-dim S,2,1,small,5.329836,0,0,0,-6534.656,25.43222,,,4.878258,,,,
74,1,docking: 3-dim T + 1-dim S,2,2,small,17.025,0,0,0,-6415.262,17.09453,,,1.955756,,,,
74,1,docking: 3-dim T + 1-dim S,2,1,big,7.832346,0,0,0,11124.77,10.19234,,,1.016801,,,,
74,1,docking: 3-dim T + 1-dim S,2,2,big,61.05721,0,0,0,-1412779,57.64753,,,7.97291,,,,
74,1,docking: 3-dim T + 1-dim S,3,1,small,10.54765,0,0,0,-121694.6,18.09593,,,1.715431,,,,
74,1,docking: 3-dim T + 1-dim S,3,2,small,27.95551,0,0,0,5934.448,22.88988,,,2.167927,,,,
74,1,docking: 3-dim T + 1-dim S,3,1,big,31.01262,0,0,0,-9658.604,17.47824,,,2.38749,,,,
74,1,docking: 3-dim T + 1-dim S,3,2,big,3.121988,0,0,0,349792.5,24.54201,,,4.047918,,,,
74,1,docking: 3-dim T + 2-dim S,1,1,small,9.780589,0,0,0,-68033.68,16.1368,,,3.31284,,,,
74,1,docking: 3-dim T + 2-dim S,1,2,small,14.84243,0,0,0,-1525.426,25.79325,,,2.5393,,,,
74,1,docking: 3-dim T + 2-dim S,1,1,big,61.71268,0,0,0,-58328.93,33.84354,,,3.71143,,,,
74,1,docking: 3-dim T + 2-dim S,1,2,big,5.353906,0,0,0,-110009.7,30.20042,,,4.666579,,,,
74,1,docking: 3-dim T + 2-dim S,2,1,small,26.33374,0,0,0,-1486800,30.07943,,,8.230636,,,,
74,1,docking: 3-dim T + 2-dim S,2,2,small,2.993325,0,0,0,-3058.949,25.6184,,,3.205625,,,,
74,1,docking: 3-dim T + 2-dim S,2,1,big,3.631787,0,0,0,9.888363,23.7053,,,2.523318,,,,
74,1,docking: 3-dim T + 2-dim S,2,2,big,15.23553,0,0,0,457348.5,25.54819,,,6.629841,,,,
74,1,docking: 3-dim T + 2-dim S,3,1,small,63.5979,0,0,0,-1697217,17.33035,,,2.084497,,,,
74,1,docking: 3-dim T + 2-dim S,3,2,small,21.44937,0,0,0,-16529.34,11.59169,,,1.88938,,,,
74,1,docking: 3-dim T + 2-dim S,3,1,big,4.214362,0,0,0,4431.994,17.55784,,,2.181722,,,,
74,1,docking: 3-dim T + 2-dim S,3,2,big,14.27174,0,0,0,-1129391,37.89378,,,7.147709,,,,
74,1,docking: 3-dim T + 3-dim S,1,1,small,30.28587,0,0,0,-163038.4,26.79851,,,7.683115,,,,
74,1,docking: 3-dim T + 3-dim S,1,2,small,59.43106,0,0,0,111872.4,30.12646,,,1.720871,,,,
74,1,docking: 3-dim T + 3-dim S,1,1,big,45.97562,0,0,0,-133368.1,17.54416,,,1.27585,,,,
74,1,docking: 3-dim T + 3-dim S,1,2,big,37.77852,0,0,0,-1702677,21.94489,,,5.46427,,,,
74,1,docking: 3-dim T + 3-dim S,2,1,small,58.41171,0,0,0,-431415.3,17.4381,,,3.74871,,,,
74,1,docking: 3-dim T + 3-dim S,2,2,small,7.002389,0,0,0,14405.22,33.78239,,,5.118106,,,,
74,1,docking: 3-dim T + 3-dim S,2,1,big,61.7739,0,0,0,-141914.2,31.1748,,,2.449057,,,,
74,1,docking: 3-dim T + 3-dim S,2,2,big,8.235538,0,0,0,1210807,31.60541,,,4.335134,,,,
74,1,docking: 3-dim T + 3-dim S,3,1,small,84.03381,0,0,0,-5502161,18.11097,,,6.385278,,,,
74,1,docking: 3-dim T + 3-dim S,3,2,small,42.14202,0,0,0,-93437.15,37.07647,,,3.221811,,,,
74,1,docking: 3-dim T + 3-dim S,3,1,big,21.46428,0,0,0,-49945.65,26.36501,,,1.869612,,,,
74,1,docking: 3-dim T + 3-dim S,3,2,big,4.274607,0,0,0,970750.2,44.83961,,,5.795942,,,,

