PID,condition,case,task,trial,size,distance(cm),Angular error X,Angular error Y,Angular error Z,volume difference(cm^3),time(sec.),number of attempt,number of collision,path length(cm),total angular rotation X,total angular rotation Y,total angular rotation Z,continous delta volume error(m^3)
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,1,small,,,,,,129.9456,10,4,9.277921,38159.59,0.3028325,459.9871,0.4170858
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,2,small,,,,,,31.97935,2.5,2,1.948929,12960.03,0.3440424,421.21,0
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,1,big,,,,,,30.21237,4.5,1,2.977917,6.483822E-05,1.406545E-05,413.7284,0
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,2,big,,,,,,80.03444,7,8,12.42415,1563.1,1299.289,528.8986,2.998737
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,1,small,,,,,,67.66064,7.5,5,17.3844,360.4897,0.4387845,418.6446,5.653168
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,2,small,,,,,,27.08135,2.5,1,0.644472,2.223813E-05,0.0001392365,413.7113,0.5058263
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,1,big,,,,,,42.22823,4.5,3,1.408238,2.039718E-05,8.392334E-05,418.1093,3.043827
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,2,big,,,,,,52.25919,5.5,3,4.183154,1.271989E-05,0.0001010895,386.7262,3.834518
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,1,small,,,,,,30.30364,3,4,2.326095,4.162148E-05,0.0001316071,423.3318,12.88179
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,2,small,,,,,,40.64764,4,1,2.450277,782.9059,6.103516E-05,52.65074,0.06335639
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,1,big,,,,,,34.43781,3.5,3,1.476722,10434.78,126.4166,1182.979,0.09338403
1,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,2,big,,,,,,25.58746,2.5,1,3.118048,2.986207E-05,0.0006713867,778.9842,1.692973
60,1,docking: 1-dim T + 1-dim R,1,1,small,198.0509,0.1071282,184.7044,58.06694,-3061425,28.94547,,,2.988331,,,,
60,1,docking: 1-dim T + 1-dim R,1,2,small,0.303787,-4.277092,0,0,0,20.10663,,,0.9270566,,,,
60,1,docking: 1-dim T + 1-dim R,1,1,big,3.247003,0.7612038,0,0,-0.009536746,31.27711,,,0.2934604,,,,
60,1,docking: 1-dim T + 1-dim R,1,2,big,4.617047,-1.259186,0,0,-0.4029274,11.44863,,,1.672179,,,,
60,1,docking: 1-dim T + 1-dim R,2,1,small,0.7752895,-0.2631836,0,0,1.61171,19.01073,,,1.319655,,,,
60,1,docking: 1-dim T + 1-dim R,2,2,small,23.77927,343.757,-193.3153,0,-0.03814698,26.26331,,,0.7769267,,,,
60,1,docking: 1-dim T + 1-dim R,2,1,big,40.84978,340.9722,152.7242,4.415387,-0.02861023,31.33794,,,0.849739,,,,
60,1,docking: 1-dim T + 1-dim R,2,2,big,1.053608,0.9456955,-359.9835,0,0.8058547,17.75153,,,1.099514,,,,
60,1,docking: 1-dim T + 1-dim R,3,1,small,51.39787,358.791,4.055237,359.484,543121,51.33377,,,8.724428,,,,
60,1,docking: 1-dim T + 1-dim R,3,2,small,16.59088,0,0,1.611771,0,14.45227,,,0,,,,
60,1,docking: 1-dim T + 1-dim R,3,1,big,1.136017,0,0,1.830627,0.02861023,35.70335,,,6.886855,,,,
60,1,docking: 1-dim T + 1-dim R,3,2,big,2.604055,0,0,-0.8733063,0.4029275,24.32337,,,7.774145,,,,
60,1,docking: 2-dim T + 1-dim R,1,1,small,3.660774,0,0,-0.337326,0.4029274,26.52592,,,8.240473,,,,
60,1,docking: 2-dim T + 1-dim R,1,2,small,6.802653,13.28958,0,0,-0.009536744,36.47426,,,4.639064,,,,
60,1,docking: 2-dim T + 1-dim R,1,1,big,4.090366,1.200104,0,0,-0.009536744,20.99944,,,1.399709,,,,
60,1,docking: 2-dim T + 1-dim R,1,2,big,17.10942,0.718853,0,0,0,24.87098,,,4.742605,,,,
60,1,docking: 2-dim T + 1-dim R,2,1,small,2.648174,-0.7510614,0,0,0,13.70444,,,3.200974,,,,
60,1,docking: 2-dim T + 1-dim R,2,2,small,1.544358,0,-4.014679,0,-7792.6,47.45285,,,2.916482,,,,
60,1,docking: 2-dim T + 1-dim R,2,1,big,10.73162,0,-351.3791,358.2738,-0.009536744,38.66286,,,3.685934,,,,
60,1,docking: 2-dim T + 1-dim R,2,2,big,3.466789,359.9856,5.811188,0.8318204,0.2014637,30.12914,,,2.097602,,,,
60,1,docking: 2-dim T + 1-dim R,3,1,small,6.666955,0,-4.050766,0,-1.208782,24.92075,,,1.314011,,,,
60,1,docking: 2-dim T + 1-dim R,3,2,small,19.9752,354.9805,13.20407,0.3032074,0,65.00983,,,5.740515,,,,
60,1,docking: 2-dim T + 1-dim R,3,1,big,17.40203,5.16273,13.33906,-3.875259,0.004768372,47.375,,,1.44262,,,,
60,1,docking: 2-dim T + 1-dim R,3,2,big,13.09272,358.8619,0.7396557,0.8153534,3.021956,31.7368,,,3.798135,,,,
60,1,docking: 3-dim T + 1-dim R,1,1,small,6.294538,357.5227,354.3968,0.8367004,0.6043912,141.8315,,,10.66051,,,,
60,1,docking: 3-dim T + 1-dim R,1,2,small,4.812922,0.3006783,5.933164,359.5565,0,46.4502,,,3.229348,,,,
60,1,docking: 3-dim T + 1-dim R,1,1,big,4.684999,6.201752,357.4765,0.2646152,0.009536743,30.37523,,,1.445429,,,,
60,1,docking: 3-dim T + 1-dim R,1,2,big,18.20528,0.7975349,0,0,-0.4029273,19.50605,,,3.023884,,,,
60,1,docking: 3-dim T + 1-dim R,2,1,small,7.685498,-0.3951111,0,0,0.4029273,31.03364,,,5.063173,,,,
60,1,docking: 3-dim T + 1-dim R,2,2,small,12.49322,2.03408,-4.092834,354.6059,-7.21645E-10,27.98599,,,1.713679,,,,
60,1,docking: 3-dim T + 1-dim R,2,1,big,2.093245,358.3027,-6.473145,0.2651089,0.004768372,54.21421,,,4.072598,,,,
60,1,docking: 3-dim T + 1-dim R,2,2,big,16.10794,0,7.912476,0,0,510.2933,,,2.121837,,,,
60,1,docking: 3-dim T + 1-dim R,3,1,small,17.5715,352.3613,-8.403303,357.7638,0,57.59383,,,9.124269,,,,
60,1,docking: 3-dim T + 1-dim R,3,2,small,2.610026,359.0198,4.093531,3.095669,0.004768372,34.53643,,,3.550726,,,,
60,1,docking: 3-dim T + 1-dim R,3,1,big,13.46294,0,0,2.444,0.009536743,17.5123,,,1.288471,,,,
60,1,docking: 3-dim T + 1-dim R,3,2,big,7.970854,0,0,2.126587,0,20.36698,,,4.600322,,,,
60,1,docking: 3-dim T + 1-dim S,1,1,small,1.92712,0,0,-0.8115234,-0.8058547,17.25679,,,3.355089,,,,
60,1,docking: 3-dim T + 1-dim S,1,2,small,2.87309,0,0,0,-4966.048,29.21854,,,4.309729,,,,
60,1,docking: 3-dim T + 1-dim S,1,1,big,4.351897,0,0,0,-68.10136,25.90303,,,2.51563,,,,
60,1,docking: 3-dim T + 1-dim S,1,2,big,28.81858,0,0,0,-279266.9,15.52779,,,3.540048,,,,
60,1,docking: 3-dim T + 1-dim S,2,1,small,10.12237,0,0,0,111387.3,22.98629,,,3.401598,,,,
60,1,docking: 3-dim T + 1-dim S,2,2,small,6.276493,0,0,0,39716.29,41.6411,,,10.22569,,,,
60,1,docking: 3-dim T + 1-dim S,2,1,big,12.03467,0,0,0,-1468.823,22.35928,,,1.408259,,,,
60,1,docking: 3-dim T + 1-dim S,2,2,big,3.679815,0,0,0,33821.72,20.93677,,,3.172187,,,,
60,1,docking: 3-dim T + 1-dim S,3,1,small,33.39555,0,0,0,-320438.5,25.75939,,,4.877026,,,,
60,1,docking: 3-dim T + 1-dim S,3,2,small,3.776245,0,0,0,13837.94,12.31032,,,2.848492,,,,
60,1,docking: 3-dim T + 1-dim S,3,1,big,23.18045,0,350.9638,0,-71545.98,27.88633,,,4.318479,,,,
60,1,docking: 3-dim T + 1-dim S,3,2,big,53.88575,0,347.1984,0,-1695592,22.29581,,,3.016745,,,,
60,1,docking: 3-dim T + 2-dim S,1,1,small,8.237332,0,4.613845,0,98054.39,31.40634,,,5.152371,,,,
60,1,docking: 3-dim T + 2-dim S,1,2,small,61.28856,0,0,0,-88311.26,24.16629,,,2.619204,,,,
60,1,docking: 3-dim T + 2-dim S,1,1,big,3.236367,0,0,0,1620.095,12.92079,,,1.417386,,,,
60,1,docking: 3-dim T + 2-dim S,1,2,big,51.32685,0,0,0,3970667,24.42873,,,11.94529,,,,
60,1,docking: 3-dim T + 2-dim S,2,1,small,62.38533,0,0,0,-706049.7,68.61086,,,9.607868,,,,
60,1,docking: 3-dim T + 2-dim S,2,2,small,23.63816,0,0,0,-16522.15,27.5248,,,5.191399,,,,
60,1,docking: 3-dim T + 2-dim S,2,1,big,11.24439,0,0,0,24005.61,33.29064,,,2.304567,,,,
60,1,docking: 3-dim T + 2-dim S,2,2,big,17.09187,0,0,0,184261.2,15.76788,,,3.821068,,,,
60,1,docking: 3-dim T + 2-dim S,3,1,small,52.66394,0,0,0,-1327374,14.86607,,,2.027092,,,,
60,1,docking: 3-dim T + 2-dim S,3,2,small,13.99947,0,0,0,-15218,19.02333,,,2.706765,,,,
60,1,docking: 3-dim T + 2-dim S,3,1,big,12.24138,0,0,0,33635.56,19.74448,,,3.24234,,,,
60,1,docking: 3-dim T + 2-dim S,3,2,big,41.70182,0,0,0,-4203302,20.15329,,,5.158827,,,,
60,1,docking: 3-dim T + 3-dim S,1,1,small,77.46694,0,0,0,-1470864,20.24373,,,1.988497,,,,
60,1,docking: 3-dim T + 3-dim S,1,2,small,19.8451,0,0,0,-79908.51,24.36737,,,2.105208,,,,
60,1,docking: 3-dim T + 3-dim S,1,1,big,50.54688,25.23887,157.391,349.5043,1964.472,50.91036,,,2.522744,,,,
60,1,docking: 3-dim T + 3-dim S,1,2,big,46.1483,0,0,0,-2403817,26.1047,,,5.982416,,,,
60,1,docking: 3-dim T + 3-dim S,2,1,small,74.04343,0,0,0,2653008,25.63294,,,3.085635,,,,
60,1,docking: 3-dim T + 3-dim S,2,2,small,9.019403,0,0,0,198618.8,58.81031,,,6.887122,,,,
60,1,docking: 3-dim T + 3-dim S,2,1,big,32.32828,0,0,0,-165140.5,33.91318,,,4.536542,,,,
60,1,docking: 3-dim T + 3-dim S,2,2,big,378.987,0,0,0,5.003638E+07,34.87079,,,17.35408,,,,
60,1,docking: 3-dim T + 3-dim S,3,1,small,62.48132,0,0,0,2750748,35.32338,,,10.04271,,,,
60,1,docking: 3-dim T + 3-dim S,3,2,small,40.84326,0,0,0,-598050.1,21.39198,,,3.157949,,,,
60,1,docking: 3-dim T + 3-dim S,3,1,big,11.04055,0,0,0,-153151.7,31.8619,,,3.22325,,,,
60,1,docking: 3-dim T + 3-dim S,3,2,big,75.10409,0,0,0,-3786879,29.08408,,,6.248178,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,1,1,small,6.035979,0,0,0,219762.7,30.22917,,,4.054859,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,1,2,small,67.57436,10.83945,0,0,-3481.943,30.24203,,,2.178324,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,1,1,big,20.0259,0.9068298,0,0,312812.9,27.22755,,,2.839221,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,1,2,big,78.67754,0.9938049,0,0,1798759,28.24704,,,4.88503,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,2,1,small,7.324497,-6.786469,0,0,-168681.5,28.16703,,,4.38976,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,2,2,small,3.694347,358.3835,13.29984,1.441317E-06,-162258.9,32.11832,,,3.592609,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,2,1,big,6.912217,0,-14.35067,0,13030.6,35.86899,,,3.34759,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,2,2,big,106.4499,0,10.48829,0,3589630,51.29565,,,15.61324,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,3,1,small,67.06762,0,-2.753113,0,-2797098,42.29955,,,0,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,3,2,small,178.9106,0,0,-148.7478,-490452,56.12615,,,0,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,3,1,big,50.2434,0,0,-285.0213,-49166.07,0,,,0,,,,
60,1,docking: 3-dim T + 3-dim R + 3-dim S,3,2,big,26.51264,0,0,-234.1879,-207371.1,0,,,0,,,,
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,1,1,small,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,1,2,small,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,1,1,big,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,1,2,big,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,2,1,small,,,,,,0,0,2,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,2,2,small,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,2,1,big,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,2,2,big,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,3,1,small,,,,,,0,0,0,0,0,0,0,0
60,1,tunnel: 3-dim T + 1-dim R + 3-dim S,3,2,small,,,,,,0,0,0,0,0,0,0,0

